Name,Location,Price
"9.2 Anna Land For Sale At Baluwatar, 1 Kitta Inside From Main Road : Land For Sale In Baluwatar, Kathmandu",Kathmandu,7500000
"House For Sale At Ganeshthan, Chabahil Beside Raprapa Party Office : House For Sale In Chabahil, Kathmandu",Kathmandu,60000000
"Plotted Land : Land For Sale In Matatirtha, Kathmandu",Kathmandu,1200000
"0-5-0-0 Aana Commercial Land : Land For Sale In Kadaghari, Kathmandu",Kathmandu,2700000
"Brand New : House For Sale In Sankhamul, Kathmandu",Kathmandu,35000000
"0-9-0-0 Aana Land : Land For Sale In Kalanki, Kathmandu",Kathmandu,3600000
"House On Sale At Chabahil (50m Towards Ganeshsthan) ) : House For Sale In Chabahil, Kathmandu",Kathmandu,25000000
"Beautiful House Sale At Gothatar, Bhaktapur, Nepal : House For Sale In Gothatar, Kathmandu",Kathmandu,15500000
"13 Anna Land For Sale At Chabahil Main Road, Inside Ring Road Track. : Land For Sale In Chabahil, Kathmandu",Kathmandu,9500000
"House For Sale At Putalisadak Behind Star Mall, Just 100 Meters From Main Road. : House For Sale In Putalisadak, Kathmandu",Kathmandu,75000000
"13 Anna Land At For Sale At Chabahil, Dhobikhola Corridor : Land For Sale In Chabahil, Kathmandu",Kathmandu,3500000
"40 Anna Commercial Land For Sale At Nardevi Basantapur, New Road : Land For Sale In Basantapur, Kathmandu",Kathmandu,7500000
"House At Chabahil Beside Pashupati Campus, 100 Meter From Ring Road : House For Sale In Chabahil, Kathmandu",Kathmandu,75000000
"8 Anna Land For Sale At Sifal, Chabahil : Land For Sale In Chabahil, Kathmandu",Kathmandu,4500000
"9 Anna Perfect Residential Land For Sale At Budhanilkantha : Land For Sale In Budhanilkantha, Kathmandu",Kathmandu,3700000
"6 Anna House For Sale At Ratopul : House For Sale In Ratopul, Kathmandu",Kathmandu,39500000
"Flat Rent At Balaju (Godaun Storage / Office Use) : Flat For Rent In Balaju, Kathmandu",Kathmandu,18000
"10 Anna Land For Sale At Basbari Behind Shambhala Hotel : Land For Sale In Basbari, Kathmandu",Kathmandu,5000000
"Golfutar Family Bungalow : House For Sale In Golfutar, Kathmandu",Kathmandu,37000000
"Fully Furnished Brand New House For Sale At Housing, Budhanilkantha. : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,36500000
"Bungalow For Sale At Golfutar Height, 80 Meter From Highway : House For Sale In Golfutar, Kathmandu",Kathmandu,102500000
"Brand New House For Sale At Sano Bharyang : House For Sale In Sanobharyang, Kathmandu",Kathmandu,22500000
"Brand New House For Sale At Sano Bharyang Near Ring Road : House For Sale In Sano Bharyang, Kathmandu",Kathmandu,23500000
"Brand New House For Sale At Pasikot, Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,22500000
"5 Bhk House New House At Rudreshwor Budhanilkanta 200 Mtr From Highway : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,32500000
"12 Anna 5 Bhk Bungalow For Sale At Chapali, Budhanilkantha : House For Sale In Chapali, Kathmandu",Kathmandu,42500000
"House On Sale At Mahadevsthan , Thankot : House For Sale In Thankot, Kathmandu",Kathmandu,11000000
