name,address,price
"Flat For Rent In Pulchowk, Lalitpur",Lalitpur,25000
"House For Sale In Ekantakuna, Lalitpur",Lalitpur,27000000
"Flat For Rent In Satdobato, Lalitpur",Lalitpur,22000
"House For Sale In Dhapakhel, Lalitpur",Lalitpur,21500000
"House For Rent In Dhobighat, Lalitpur",Lalitpur,300000
"House For Rent In Jhamsikhel, Lalitpur",Lalitpur,250000
"House For Rent In Bhaisepati, Lalitpur",Lalitpur,150000
"House For Sale In Dhobighat, Lalitpur",Lalitpur,40000000
"House For Rent In Dhobighat, Lalitpur",Lalitpur,325000
"House For Rent In Nakkhu, Lalitpur",Lalitpur,70000
"House For Rent In Nakhipot, Lalitpur",Lalitpur,100000
"House For Rent In Kumaripati, Lalitpur",Lalitpur,125000
"House For Rent In Sanepa, Lalitpur",Lalitpur,150000
"House For Rent In Bhaisepati, Lalitpur",Lalitpur,55000
"Land For Sale In Godawari, Lalitpur",Lalitpur,1500000
"House For Rent In Bhaisepati, Lalitpur",Lalitpur,200000
"Land For Sale In Patan, Lalitpur",Lalitpur,3500000
"House For Rent In Kupondole, Lalitpur",Lalitpur,550000
"House For Rent In Bhaisepati, Lalitpur",Lalitpur,150000
"House For Rent In Dhobighat, Lalitpur",Lalitpur,180000
"House For Rent In Nakhipot, Lalitpur",Lalitpur,125000
"House For Sale In Tikathali, Lalitpur",Lalitpur,14500000
"Land For Sale In Sunakothi, Lalitpur",Lalitpur,1400000
"Land For Sale In Lele, Lalitpur",Lalitpur,250000
"House For Sale In Tikathali, Lalitpur",Lalitpur,9000000
"House For Rent In Kusunti, Lalitpur",Lalitpur,90000
"House For Rent In Sanepa, Lalitpur",Lalitpur,350000
"House For Rent In Bhaisepati, Lalitpur",Lalitpur,130000
"House For Rent In Dholahiti, Lalitpur",Lalitpur,300000
"House For Rent In Dholahiti, Lalitpur",Lalitpur,1500000
"House No. 134 : House For Sale In Harisiddhi, Lalitpur",Lalitpur,25000000
"House For Rent In Bhaisepati, Lalitpur",Lalitpur,120000
"House For Rent In Bhaisepati, Lalitpur",Lalitpur,150000
"House For Rent In Bakhundol, Lalitpur",Lalitpur,160000
"House For Rent In Sanepa, Lalitpur",Lalitpur,144000
"House For Rent In Hattiban, Lalitpur",Lalitpur,80000
"House For Rent In Khumaltar, Lalitpur",Lalitpur,300000
"House For Rent In Sanepa, Lalitpur",Lalitpur,125000
"House For Sale In Dhapakhel, Lalitpur",Lalitpur,12500000
"House For Sale In Satdobato, Lalitpur",Lalitpur,20000000
"House For Sale In Imadol, Lalitpur",Lalitpur,16000000
"Apartment For Sale In Bhaisepati, Lalitpur",Lalitpur,7500000
"Scenic : House For Sale In Dhapakhel, Lalitpur",Lalitpur,25000000
"Dhobhighat : Land For Rent In Dhobighat, Lalitpur",Lalitpur,250000
"Land For Sale In Bhaisepati, Lalitpur",Lalitpur,2400000
"House For Sale In Lubhu, Lalitpur",Lalitpur,14500000
"Lamas Residence : House For Rent In Lubhu, Lalitpur",Lalitpur,60000
"Apartment For Rent In Jhamsikhel, Lalitpur",Lalitpur,40000
"Apartment For Sale In Dhobighat, Lalitpur",Lalitpur,16500000
"House For Rent In Bhaisepati, Lalitpur",Lalitpur,250000
"Land For Sale In Godawari, Lalitpur",Lalitpur,950000
"Land For Sale In Tikathali, Lalitpur",Lalitpur,2000000
"House For Rent In Sanepa, Lalitpur",Lalitpur,300000
"House For Rent In Bhaisepati, Lalitpur",Lalitpur,60000
"Apartment For Rent In Hattiban, Lalitpur",Lalitpur,55000
"Land For Sale In Godawari, Lalitpur",Lalitpur,300000
"Land For Sale In Bhaisepati, Lalitpur",Lalitpur,2650000
"Land For Sale In Hattiban, Lalitpur",Lalitpur,2800000
"Business For Sale In Godawari, Lalitpur",Lalitpur,251000000
"Land For Sale In Sanepa, Lalitpur",Lalitpur,6800000
"House For Sale In Harisiddhi, Lalitpur",Lalitpur,33000000
"Land For Sale In Mahalaxmi Nagarpalika, Lalitpur",Lalitpur,4550000
"House For Rent In Hattiban, Lalitpur",Lalitpur,1000001
"Residential Land At Innovative Colony : Land For Sale In Hattiban, Lalitpur",Lalitpur,2800000
"Residential Cum Commercial House : House For Rent In Sanepa, Lalitpur",Lalitpur,100000
"2 Room For Office Purpose : Flat For Rent In Pulchowk, Lalitpur",Lalitpur,15500
"Semi Furnished House : House For Rent In Khumaltar, Lalitpur",Lalitpur,75000
"Apartment For Sale In Jhamsikhel, Lalitpur",Lalitpur,12500000
"22 Aana Land : Land For Sale In Tikathali, Lalitpur",Lalitpur,1550000
"Apartment At 4th Floor : Apartment For Sale In Bhaisepati, Lalitpur",Lalitpur,13000000
"Apartment For Sale : Apartment For Sale In Bhaisepati, Lalitpur",Lalitpur,13000000
"Land At Bhaisepati : Land For Sale In Bhaisepati, Lalitpur",Lalitpur,3500000
"PERFECT HOMES : House For Sale In Bhaisepati, Lalitpur",Lalitpur,29000000
"Land At Bhaisepati : Land For Sale In Bhaisepati, Lalitpur",Lalitpur,3800000
"Land At Bhaisepati : Land For Sale In Bhaisepati, Lalitpur",Lalitpur,5500000
"Land At Bhaisepati : Land For Sale In Bhaisepati, Lalitpur",Lalitpur,5500000
"Land At Bhaisepati : Land For Sale In Bhaisepati, Lalitpur",Lalitpur,5500000
"Land At Bhaisepati : Land For Sale In Bhaisepati, Lalitpur",Lalitpur,5500000
"House For Sale In Dhapakhel, Lalitpur",Lalitpur,25000000
"House For Sale In Godawari, Lalitpur",Lalitpur,40000000
"House For Sale In Hattiban, Lalitpur",Lalitpur,23000000
"House For Sale In Bhaisepati, Lalitpur",Lalitpur,21000000
"House For Sale In Bhaisepati, Lalitpur",Lalitpur,28000000
"House For Sale In Nakhipot, Lalitpur",Lalitpur,140000000
"House For Sale In Kupondole, Lalitpur",Lalitpur,6500000
